race_id,horse_number,age,dhweight,disRoc,enterTimes,preOOF,pre2OOF,surface,weather,course,jEps,runningStyle,preLastPhase,distance,sex,popularity,odds,weight,eps,jwinper,owinper,twinper,winRun,order_of_finish
8,8,3.0,14.0,,0.0,,,芝,晴,右,100,NaN,,1600,セ,11,31.2,496,,0.07,0.07,0.07,,4
8,9,3.0,8.0,-0.111111111111111,3.0,8.0,13.0,芝,晴,右,100,-6.83333333333333,35.7,1600,牝,14,181.6,458,0.0,0.07,0.07,0.07,0.0,16
8,10,3.0,0.0,0.0,1.0,16.0,,芝,晴,右,100,-0.333333333333334,35.0,1600,セ,15,236.6,414,0.0,0.07,0.07,0.07,0.0,15
8,11,3.0,-4.0,-0.314285714285714,3.0,11.0,9.0,芝,晴,右,100,-5.625,39.8,1600,牡,9,26.2,480,0.0,0.07,0.07,0.07,0.0,13
8,12,4.0,6.0,-0.186440677966102,3.0,8.0,10.0,芝,晴,右,100,-5.5,37.9,1600,牡,12,48.0,500,0.0,0.07,0.07,0.07,0.0,14
8,13,3.0,4.0,-0.111111111111111,3.0,3.0,3.0,芝,晴,右,100,7.91666666666667,33.6,1600,牡,1,4.0,512,142.3,0.07,0.07,0.07,0.0,6
8,14,5.0,8.0,0.142857142857143,2.0,14.0,18.0,芝,晴,右,100,-7.25,36.5,1600,牝,13,108.7,524,0.0,0.07,0.07,0.07,0.0,10
8,15,3.0,-2.0,0.0434782608695653,3.0,2.0,1.0,芝,晴,右,100,2.0,34.2,1600,牝,2,4.0,470,313.333333333333,0.07,0.07,0.07,0.333333333333333,8
8,16,3.0,-2.0,0.333333333333333,1.0,14.0,,芝,晴,右,100,1.0,37.3,1600,牝,16,248.7,438,0.0,0.07,0.07,0.07,0.0,12
9,1,3.0,4.0,-0.027027027027027,8.0,6.0,5.0,芝,小雨,右,179,0.96875,40.9,1800,牝,4,14.1,444,38.875,0.07,0.07,0.07,0.0,4
9,2,3.0,-12.0,-0.027027027027027,4.0,14.0,7.0,芝,小雨,右,179,-4.75,43.2,1800,牡,8,45.6,470,45.0,0.07,0.07,0.07,0.0,2
9,3,3.0,-2.0,0.2,2.0,16.0,12.0,芝,小雨,右,179,1.75,36.6,1800,牡,7,35.1,436,0.0,0.07,0.07,0.07,0.0,5
9,4,3.0,12.0,-0.0689655172413793,3.0,3.0,2.0,芝,小雨,右,179,0.0833333333333333,35.1,1800,牝,2,4.9,492,110.0,0.07,0.07,0.07,0.0,11
9,5,3.0,10.0,0.125,1.0,4.0,,芝,小雨,右,179,1.33333333333333,36.1,1800,牡,1,1.6,506,90.0,0.07,0.07,0.07,0.0,1
9,6,3.0,4.0,-0.0357142857142858,6.0,8.0,8.0,芝,小雨,右,179,-2.0,36.6,1800,牝,9,65.0,476,0.0,0.07,0.07,0.07,0.0,8
9,7,3.0,8.0,-0.0357142857142858,3.0,9.0,8.0,芝,小雨,右,179,-0.75,35.2,1800,牡,12,250.9,474,0.0,0.07,0.07,0.07,0.0,9
9,8,3.0,2.0,-0.0526315789473684,4.0,4.0,5.0,芝,小雨,右,179,0.416666666666667,37.5,1800,牝,5,14.2,418,32.0,0.07,0.07,0.07,0.0,7
9,9,3.0,-8.0,0.0384615384615385,3.0,7.0,6.0,芝,小雨,右,179,1.61111111111111,35.9,1800,牡,6,18.4,452,23.3333333333333,0.07,0.07,0.07,0.0,3
9,10,3.0,0.0,0.0,4.0,8.0,7.0,芝,小雨,右,179,0.5,35.0,1800,牡,11,166.4,444,0.0,0.07,0.07,0.07,0.0,10
9,11,3.0,-6.0,0.0,2.0,9.0,18.0,芝,小雨,右,179,-1.0,35.8,1800,牝,14,365.0,486,0.0,0.07,0.07,0.07,0.0,15
9,12,3.0,-6.0,0.125,6.0,7.0,5.0,芝,小雨,右,179,-1.61111111111111,38.3,1800,牡,3,6.2,504,88.0,0.07,0.07,0.07,0.0,6
9,13,3.0,-2.0,-0.0769230769230769,4.0,14.0,7.0,芝,小雨,右,179,2.33333333333333,41.8,1800,牡,10,150.2,484,12.75,0.07,0.07,0.07,0.0,13
9,14,3.0,2.0,0.2,2.0,16.0,14.0,芝,小雨,右,179,-5.66666666666667,42.7,1800,牝,15,463.9,430,0.0,0.07,0.07,0.07,0.0,12
9,15,3.0,-6.0,0.0909090909090909,2.0,12.0,11.0,芝,小雨,右,179,0.0,40.6,1800,牡,13,322.0,432,0.0,0.07,0.07,0.07,0.0,16
9,16,3.0,-6.0,0.285714285714286,1.0,18.0,,芝,小雨,右,179,-2.0,36.0,1800,セ,16,470.0,448,0.0,0.07,0.07,0.07,0.0,14
10,1,5.0,-14.0,0.0833333333333334,13.0,6.0,14.0,芝,晴,右,96.,-2.60416666666667,37.0,1800,セ,6,56.6,484,87.8923076923077,0.07,0.07,0.07,0.0769230769230769,7
10,2,6.0,-2.0,0.111111111111111,10.0,6.0,4.0,芝,晴,右,96.,1.94166666666667,34.1,1800,牡,4,5.8,484,121.58,0.07,0.07,0.07,0.0,2
10,3,5.0,0.0,0.0,10.0,5.0,22,芝,晴,右,96.,5.32407407407407,34.3,1800,牝,2,4.3,482,359.68,0.07,0.07,0.07,0.1,5
10,4,4.0,-2.0,-0.0357142857142858,6.0,1.0,6.0,芝,晴,右,96.,3.66666666666667,35.2,1800,セ,3,4.3,434,230.0,0.07,0.07,0.07,0.333333333333333,1
10,5,5.0,12.0,,0.0,,,芝,晴,右,96.,NaN,,1800,牝,8,159.5,520,,0.07,0.07,0.07,,8
10,6,4.0,-2.0,-0.0581395348837209,9.0,4.0,9.0,芝,晴,右,96.,6.0,34.8,1800,牝,1,1.8,420,313.355555555556,0.07,0.07,0.07,0.222222222222222,3
10,7,6.0,6.0,0.0714285714285714,10.0,5.0,9.0,芝,晴,右,96.,0.75,33.6,1800,牡,7,57.2,492,98.0,0.07,0.07,0.07,0.0,4
10,8,5.0,0.0,0.00558659217877095,10.0,10.0,9.0,芝,晴,右,96.,2.39285714285714,38.3,1800,牡,5,28.8,466,132.0,0.07,0.07,0.07,0.1,6
11,1,2.0,-12.0,0.0,1.0,6.0,,芝,晴,右,170,1.5,34.7,1200,牡,5,13.4,464,0.0,0.09,0.09,0.09,0.0,2
11,2,2.0,10.0,-0.142857142857143,1.0,6.0,,芝,晴,右,170,-1.5,34.9,1200,牝,4,12.9,422,0.0,0.09,0.09,0.09,0.0,1
11,3,2.0,-4.0,0.0,1.0,4.0,,芝,晴,右,170,-2.0,35.4,1200,牡,6,15.8,464,110.0,0.09,0.09,0.09,0.0,6
11,4,2.0,2.0,-0.142857142857143,1.0,14.0,,芝,晴,右,170,-13.0,39.5,1200,牝,7,29.8,442,0.0,0.09,0.09,0.09,0.0,9
11,5,2.0,12.0,0.0,1.0,2.0,,芝,晴,右,170,0.0,36.0,1200,牝,1,2.6,438,280.0,0.09,0.09,0.09,0.0,8
11,6,2.0,0.0,0.0,1.0,6.0,,芝,晴,右,170,-0.5,35.9,1200,牝,9,102.0,408,0.0,0.09,0.09,0.09,0.0,7
11,7,2.0,6.0,-0.0769230769230769,2.0,2.0,7.0,芝,晴,右,170,-1.75,35.9,1200,牡,3,3.7,508,100.0,0.09,0.09,0.09,0.0,4
11,8,2.0,4.0,-0.25,1.0,6.0,,芝,晴,右,170,-3.0,34.3,1200,牡,2,3.7,452,0.0,0.09,0.09,0.09,0.0,3
11,9,2.0,-8.0,0.0909090909090909,2.0,11.0,5.0,芝,晴,右,170,0.25,33.9,1200,牝,8,83.6,368,35.0,0.09,0.09,0.09,0.0,5
12,1,3.0,-6.0,0.024390243902439,7.0,2.0,1.0,ダ,曇,左,238,0.75,38.0,1800,牡,1,1.6,486,182.857142857143,0.08,0.08,0.08,0.142857142857143,2
12,2,5.0,-6.0,0.333333333333333,8.0,4.0,2.0,ダ,曇,左,238,2.0,39.6,1800,セ,4,9.5,480,102.5,0.08,0.08,0.08,0.0,3
12,3,3.0,0.0,0.0,5.0,2.0,5.0,ダ,曇,左,238,2.85,39.1,1800,牡,3,9.1,518,65.6,0.08,0.08,0.08,0.0,5
12,4,5.0,0.0,-0.0246305418719212,11.0,10.0,3.0,ダ,曇,左,238,-0.65625,41.5,1800,牡,8,18.7,454,100.909090909091,0.08,0.08,0.08,0.0,7
12,5,4.0,0.0,0.358490566037736,4.0,6.0,4.0,ダ,曇,左,238,7.125,36.8,1800,牝,7,14.2,426,46.75,0.08,0.08,0.08,0.0,1
12,6,3.0,6.0,0.0799999999999999,3.0,16.0,1.0,ダ,曇,左,238,-1.25,43.6,1800,牝,2,7.0,464,170.0,0.08,0.08,0.08,0.333333333333333,8
12,7,3.0,-8.0,0.0112359550561798,5.0,6.0,9.0,ダ,曇,左,238,0.125,39.6,1800,牡,6,13.8,476,138.0,0.08,0.08,0.08,0.2,4
12,8,4.0,-1.0,0.0588235294117647,2.0,10.0,5.0,ダ,曇,左,238,-0.75,38.8,1800,牡,9,30.7,476,25.5,0.08,0.08,0.08,0.0,6
